Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating,Answered_Count,Resolved_Count,month
ID0028,Martha,2021-01-01,12:40:19,Contract related,Y,Y,51.0,00:02:34,4.0,1,1,January
ID0029,Joe,2021-01-01,12:40:19,Technical Support,Y,Y,106.0,00:02:09,4.0,1,1,January
ID0030,Stewart,2021-01-01,12:40:19,Streaming,Y,Y,107.0,00:05:55,3.0,1,1,January
ID0031,Joe,2021-01-01,13:24:58,Admin Support,Y,Y,22.0,00:05:08,3.0,1,1,January
ID0032,Joe,2021-01-01,13:24:58,Streaming,Y,Y,122.0,00:02:08,4.0,1,1,January
ID0033,Diane,2021-01-01,13:33:36,Technical Support,Y,Y,57.0,00:06:49,3.0,1,1,January
ID0034,Jim,2021-01-01,13:33:36,Payment related,Y,N,53.0,00:01:44,2.0,1,0,January
ID0035,Becky,2021-01-01,13:42:14,Streaming,Y,Y,119.0,00:01:31,5.0,1,1,January
ID0036,Diane,2021-01-01,13:42:14,Streaming,N,N,,,,0,0,January
ID0037,Martha,2021-01-01,13:42:14,Technical Support,Y,N,20.0,00:01:12,2.0,1,0,January
ID0038,Joe,2021-01-01,13:42:14,Technical Support,Y,Y,52.0,00:00:36,3.0,1,1,January
ID0039,Stewart,2021-01-01,14:38:24,Contract related,Y,Y,74.0,00:06:41,1.0,1,1,January
ID0040,Greg,2021-01-01,14:38:24,Technical Support,Y,Y,49.0,00:02:29,3.0,1,1,January
ID0041,Jim,2021-01-01,14:47:02,Technical Support,Y,Y,27.0,00:02:09,5.0,1,1,January
ID0042,Greg,2021-01-01,14:47:02,Contract related,Y,Y,100.0,00:04:54,5.0,1,1,January
ID0043,Diane,2021-01-01,14:47:02,Technical Support,Y,Y,45.0,00:06:21,3.0,1,1,January
ID0044,Becky,2021-01-01,14:47:02,Payment related,Y,Y,98.0,00:03:14,5.0,1,1,January
ID0045,Diane,2021-01-01,15:44:38,Admin Support,Y,Y,25.0,00:05:13,5.0,1,1,January
ID0046,Jim,2021-01-01,15:44:38,Contract related,N,N,,,,0,0,January
ID0047,Dan,2021-01-01,17:13:55,Admin Support,Y,Y,107.0,00:02:22,3.0,1,1,January
ID0048,Martha,2021-01-01,17:13:55,Contract related,N,N,,,,0,0,January
ID0049,Joe,2021-01-01,17:25:26,Technical Support,Y,Y,104.0,00:03:35,5.0,1,1,January
ID0050,Dan,2021-01-01,17:25:26,Technical Support,N,N,,,,0,0,January
ID0051,Martha,2021-01-01,17:35:31,Contract related,N,N,,,,0,0,January
ID0052,Jim,2021-01-01,17:35:31,Admin Support,N,N,,,,0,0,January
ID0053,Stewart,2021-01-01,17:36:58,Payment related,Y,Y,13.0,00:01:15,5.0,1,1,January
ID0054,Dan,2021-01-01,17:36:58,Payment related,Y,Y,119.0,00:02:32,5.0,1,1,January
ID0055,Becky,2021-01-01,17:44:10,Streaming,Y,Y,35.0,00:01:19,3.0,1,1,January
ID0056,Dan,2021-01-01,17:44:10,Streaming,Y,Y,83.0,00:06:45,4.0,1,1,January
ID0057,Jim,2021-01-01,17:57:07,Technical Support,Y,Y,48.0,00:02:52,2.0,1,1,January
ID0058,Stewart,2021-01-01,17:57:07,Admin Support,Y,Y,45.0,00:03:23,5.0,1,1,January
ID0059,Dan,2021-01-02,09:05:46,Technical Support,Y,Y,65.0,00:06:00,5.0,1,1,January
ID0060,Dan,2021-01-02,09:05:46,Contract related,Y,Y,50.0,00:04:26,3.0,1,1,January
ID0061,Diane,2021-01-02,09:18:43,Streaming,Y,Y,17.0,00:06:15,3.0,1,1,January
ID0062,Joe,2021-01-02,09:18:43,Technical Support,N,N,,,,0,0,January
ID0063,Dan,2021-01-02,09:20:10,Streaming,Y,Y,96.0,00:06:46,1.0,1,1,January
ID0064,Stewart,2021-01-02,09:20:10,Streaming,Y,Y,90.0,00:06:23,3.0,1,1,January
ID0065,Jim,2021-01-02,09:38:53,Contract related,Y,Y,98.0,00:06:25,2.0,1,1,January
ID0066,Diane,2021-01-02,09:38:53,Technical Support,Y,N,90.0,00:01:23,4.0,1,0,January
ID0067,Jim,2021-01-02,10:04:48,Contract related,Y,Y,98.0,00:05:49,5.0,1,1,January
ID0068,Jim,2021-01-02,10:04:48,Contract related,Y,Y,70.0,00:03:12,5.0,1,1,January
ID0069,Diane,2021-01-02,10:33:36,Contract related,Y,Y,69.0,00:04:45,4.0,1,1,January
ID0070,Diane,2021-01-02,10:33:36,Admin Support,N,N,,,,0,0,January
ID0071,Joe,2021-01-02,11:08:10,Technical Support,Y,Y,120.0,00:02:11,4.0,1,1,January
ID0072,Stewart,2021-01-02,11:08:10,Admin Support,Y,Y,113.0,00:05:51,5.0,1,1,January
ID0073,Greg,2021-01-02,11:26:53,Payment related,Y,N,10.0,00:02:19,5.0,1,0,January
ID0074,Becky,2021-01-02,11:26:53,Contract related,Y,Y,122.0,00:04:53,1.0,1,1,January
ID0075,Stewart,2021-01-02,11:42:43,Technical Support,Y,N,125.0,00:01:38,3.0,1,0,January
ID0076,Diane,2021-01-02,11:42:43,Admin Support,N,N,,,,0,0,January
ID0077,Martha,2021-01-02,11:47:02,Technical Support,Y,Y,33.0,00:06:38,2.0,1,1,January
ID0078,Dan,2021-01-02,11:47:02,Contract related,Y,Y,51.0,00:06:22,2.0,1,1,January
ID0079,Becky,2021-01-02,11:54:14,Contract related,Y,Y,58.0,00:03:28,3.0,1,1,January
ID0080,Dan,2021-01-02,11:54:14,Admin Support,Y,Y,121.0,00:04:47,5.0,1,1,January
ID0081,Diane,2021-01-02,12:00:00,Admin Support,Y,Y,118.0,00:02:06,4.0,1,1,January
ID0082,Greg,2021-01-02,12:00:00,Payment related,Y,Y,52.0,00:06:56,4.0,1,1,January
ID0083,Stewart,2021-01-02,12:20:10,Admin Support,Y,Y,55.0,00:04:44,3.0,1,1,January
ID0084,Dan,2021-01-02,12:20:10,Contract related,Y,Y,68.0,00:05:59,4.0,1,1,January
ID0085,Becky,2021-01-02,12:41:46,Technical Support,Y,Y,106.0,00:04:22,5.0,1,1,January
ID0086,Martha,2021-01-02,12:41:46,Technical Support,Y,Y,32.0,00:04:36,3.0,1,1,January
ID0087,Jim,2021-01-02,12:44:38,Payment related,N,N,,,,0,0,January
ID0088,Martha,2021-01-02,12:44:38,Admin Support,Y,N,45.0,00:01:26,4.0,1,0,January
ID0089,Joe,2021-01-02,12:59:02,Technical Support,Y,Y,119.0,00:03:32,4.0,1,1,January
ID0090,Dan,2021-01-02,12:59:02,Streaming,N,N,,,,0,0,January
ID0091,Jim,2021-01-02,13:03:22,Contract related,Y,Y,46.0,00:05:41,1.0,1,1,January
ID0092,Stewart,2021-01-02,13:03:22,Technical Support,Y,Y,101.0,00:01:28,3.0,1,1,January
ID0093,Jim,2021-01-02,13:04:48,Technical Support,Y,Y,56.0,00:02:52,3.0,1,1,January
ID0094,Becky,2021-01-02,13:04:48,Technical Support,Y,Y,80.0,00:00:53,3.0,1,1,January
ID0095,Diane,2021-01-02,13:13:26,Streaming,Y,Y,24.0,00:01:36,3.0,1,1,January
ID0096,Stewart,2021-01-02,13:13:26,Payment related,Y,Y,113.0,00:03:54,2.0,1,1,January
ID0097,Greg,2021-01-02,13:20:38,Contract related,Y,Y,19.0,00:02:03,4.0,1,1,January
ID0098,Martha,2021-01-02,13:20:38,Streaming,N,N,,,,0,0,January
ID0099,Dan,2021-01-02,13:20:38,Contract related,Y,Y,45.0,00:06:37,3.0,1,1,January
ID0100,Diane,2021-01-02,13:20:38,Technical Support,Y,Y,95.0,00:05:11,1.0,1,1,January
ID0101,Becky,2021-01-02,13:45:07,Technical Support,N,N,,,,0,0,January
ID0102,Martha,2021-01-02,13:45:07,Technical Support,Y,N,79.0,00:05:31,1.0,1,0,January
ID0103,Diane,2021-01-02,13:49:26,Payment related,Y,Y,22.0,00:03:56,2.0,1,1,January
ID0104,Martha,2021-01-02,13:49:26,Contract related,Y,Y,38.0,00:06:36,1.0,1,1,January
ID0105,Becky,2021-01-02,13:53:46,Technical Support,Y,Y,112.0,00:03:25,5.0,1,1,January
ID0106,Becky,2021-01-02,13:53:46,Payment related,Y,Y,65.0,00:04:57,3.0,1,1,January
ID0107,Joe,2021-01-02,14:22:34,Streaming,N,N,,,,0,0,January
ID0108,Becky,2021-01-02,14:22:34,Contract related,Y,N,55.0,00:02:32,1.0,1,0,January
ID0109,Stewart,2021-01-02,14:52:48,Admin Support,N,N,,,,0,0,January
ID0110,Joe,2021-01-02,14:52:48,Streaming,Y,Y,19.0,00:02:38,2.0,1,1,January
ID0111,Becky,2021-01-02,15:10:05,Technical Support,Y,Y,53.0,00:00:56,3.0,1,1,January
ID0112,Diane,2021-01-02,15:10:05,Technical Support,Y,Y,24.0,00:06:06,5.0,1,1,January
ID0113,Martha,2021-01-02,15:36:00,Streaming,Y,Y,73.0,00:06:01,3.0,1,1,January
ID0114,Stewart,2021-01-02,15:36:00,Technical Support,N,N,,,,0,0,January
ID0115,Jim,2021-01-02,17:36:58,Technical Support,Y,Y,55.0,00:05:47,5.0,1,1,January
ID0116,Greg,2021-01-02,17:36:58,Payment related,N,N,,,,0,0,January
ID0117,Diane,2021-01-02,17:47:02,Streaming,N,N,,,,0,0,January
ID0118,Martha,2021-01-02,17:47:02,Streaming,Y,Y,23.0,00:05:18,4.0,1,1,January
ID0119,Dan,2021-01-03,09:10:05,Payment related,Y,N,124.0,00:02:23,5.0,1,0,January
ID0120,Dan,2021-01-03,09:10:05,Contract related,N,N,,,,0,0,January
ID0121,Dan,2021-01-03,09:47:31,Technical Support,Y,Y,103.0,00:01:01,4.0,1,1,January
ID0122,Martha,2021-01-03,09:47:31,Contract related,Y,Y,69.0,00:03:45,4.0,1,1,January
ID0123,Joe,2021-01-03,10:29:17,Streaming,Y,Y,78.0,00:01:12,3.0,1,1,January
ID0124,Martha,2021-01-03,10:29:17,Technical Support,Y,Y,78.0,00:03:26,5.0,1,1,January
ID0125,Martha,2021-01-03,10:37:55,Technical Support,N,N,,,,0,0,January
ID0126,Diane,2021-01-03,10:37:55,Payment related,Y,Y,44.0,00:05:38,4.0,1,1,January
ID0127,Martha,2021-01-03,10:52:19,Admin Support,Y,Y,35.0,00:02:46,4.0,1,1,January
ID0128,Becky,2021-01-03,10:52:19,Admin Support,Y,Y,102.0,00:05:26,4.0,1,1,January
ID0129,Jim,2021-01-03,10:52:19,Contract related,Y,Y,99.0,00:05:51,3.0,1,1,January
ID0130,Jim,2021-01-03,10:52:19,Admin Support,Y,Y,29.0,00:04:09,3.0,1,1,January
ID0131,Becky,2021-01-03,10:58:05,Admin Support,Y,N,42.0,00:00:59,5.0,1,0,January
ID0132,Diane,2021-01-03,10:58:05,Payment related,Y,Y,113.0,00:05:40,4.0,1,1,January
ID0133,Dan,2021-01-03,11:02:24,Admin Support,Y,Y,124.0,00:00:53,2.0,1,1,January
ID0134,Jim,2021-01-03,11:02:24,Technical Support,N,N,,,,0,0,January
ID0135,Dan,2021-01-03,11:03:50,Payment related,Y,Y,55.0,00:02:13,1.0,1,1,January
ID0136,Greg,2021-01-03,11:03:50,Technical Support,Y,N,105.0,00:05:59,3.0,1,0,January
ID0137,Stewart,2021-01-03,11:06:43,Contract related,Y,N,112.0,00:03:12,5.0,1,0,January
ID0138,Martha,2021-01-03,11:06:43,Contract related,N,N,,,,0,0,January
ID0139,Becky,2021-01-03,11:16:48,Technical Support,Y,Y,43.0,00:06:20,5.0,1,1,January
ID0140,Joe,2021-01-03,11:16:48,Payment related,Y,Y,20.0,00:01:44,3.0,1,1,January
ID0141,Greg,2021-01-03,11:26:53,Technical Support,Y,Y,84.0,00:01:43,5.0,1,1,January
ID0142,Jim,2021-01-03,11:26:53,Contract related,Y,Y,20.0,00:02:44,4.0,1,1,January
ID0143,Greg,2021-01-03,11:38:24,Streaming,Y,Y,101.0,00:02:16,3.0,1,1,January
ID0144,Diane,2021-01-03,11:38:24,Technical Support,Y,Y,31.0,00:02:55,5.0,1,1,January
ID0145,Jim,2021-01-03,11:52:48,Contract related,Y,Y,56.0,00:04:09,5.0,1,1,January
ID0146,Joe,2021-01-03,11:52:48,Contract related,N,N,,,,0,0,January
ID0147,Joe,2021-01-03,11:55:41,Payment related,Y,Y,77.0,00:01:27,5.0,1,1,January
ID0148,Jim,2021-01-03,11:55:41,Payment related,Y,Y,46.0,00:00:50,4.0,1,1,January
ID0149,Stewart,2021-01-03,11:58:34,Admin Support,Y,Y,88.0,00:04:26,3.0,1,1,January
ID0150,Diane,2021-01-03,11:58:34,Payment related,Y,Y,88.0,00:00:58,1.0,1,1,January
ID0151,Joe,2021-01-03,12:33:07,Technical Support,Y,Y,124.0,00:06:03,1.0,1,1,January
ID0152,Stewart,2021-01-03,12:33:07,Contract related,N,N,,,,0,0,January
ID0153,Martha,2021-01-03,12:54:43,Payment related,Y,N,52.0,00:06:59,4.0,1,0,January
ID0154,Joe,2021-01-03,12:54:43,Admin Support,Y,Y,67.0,00:06:10,5.0,1,1,January
ID0155,Martha,2021-01-03,13:12:00,Payment related,Y,Y,119.0,00:04:16,3.0,1,1,January
ID0156,Dan,2021-01-03,13:12:00,Admin Support,Y,Y,98.0,00:04:37,2.0,1,1,January
ID0157,Jim,2021-01-03,13:14:53,Technical Support,N,N,,,,0,0,January
ID0158,Joe,2021-01-03,13:14:53,Technical Support,Y,Y,118.0,00:04:18,3.0,1,1,January
ID0159,Becky,2021-01-03,13:27:50,Admin Support,Y,Y,123.0,00:01:15,3.0,1,1,January
ID0160,Becky,2021-01-03,13:27:50,Streaming,Y,N,86.0,00:05:37,1.0,1,0,January
ID0161,Greg,2021-01-03,13:35:02,Admin Support,Y,Y,104.0,00:02:09,3.0,1,1,January
ID0162,Greg,2021-01-03,13:35:02,Payment related,Y,Y,69.0,00:01:33,2.0,1,1,January
ID0163,Dan,2021-01-03,13:58:05,Contract related,Y,Y,113.0,00:02:38,1.0,1,1,January
ID0164,Joe,2021-01-03,13:58:05,Streaming,Y,Y,88.0,00:03:23,5.0,1,1,January
ID0165,Joe,2021-01-03,13:58:05,Streaming,N,N,,,,0,0,January
ID0166,Stewart,2021-01-03,13:58:05,Payment related,N,N,,,,0,0,January
ID0167,Joe,2021-01-03,14:03:50,Payment related,Y,Y,84.0,00:00:58,2.0,1,1,January
ID0168,Diane,2021-01-03,14:03:50,Streaming,Y,Y,113.0,00:01:22,3.0,1,1,January
ID0169,Joe,2021-01-03,14:47:02,Streaming,Y,Y,38.0,00:05:31,4.0,1,1,January
ID0170,Dan,2021-01-03,14:47:02,Streaming,Y,Y,14.0,00:06:14,4.0,1,1,January
ID0171,Martha,2021-01-03,15:34:34,Streaming,Y,N,25.0,00:05:32,4.0,1,0,January
ID0172,Dan,2021-01-03,15:34:34,Contract related,N,N,,,,0,0,January
ID0173,Diane,2021-01-03,16:29:17,Technical Support,N,N,,,,0,0,January
ID0174,Joe,2021-01-03,16:29:17,Payment related,Y,Y,117.0,00:02:07,4.0,1,1,January
ID0175,Stewart,2021-01-03,17:31:12,Payment related,Y,N,57.0,00:06:01,2.0,1,0,January
ID0176,Martha,2021-01-03,17:31:12,Technical Support,Y,Y,119.0,00:05:19,5.0,1,1,January
ID0177,Martha,2021-01-04,09:01:26,Contract related,N,N,,,,0,0,January
ID0178,Diane,2021-01-04,09:01:26,Streaming,Y,Y,93.0,00:06:32,5.0,1,1,January
ID0179,Martha,2021-01-04,09:31:41,Payment related,Y,Y,86.0,00:01:04,4.0,1,1,January
ID0180,Joe,2021-01-04,09:31:41,Streaming,N,N,,,,0,0,January
ID0181,Dan,2021-01-04,09:43:12,Contract related,Y,Y,92.0,00:02:59,3.0,1,1,January
ID0182,Greg,2021-01-04,09:43:12,Streaming,N,N,,,,0,0,January
ID0183,Martha,2021-01-04,10:03:22,Technical Support,Y,Y,106.0,00:05:42,3.0,1,1,January
ID0184,Stewart,2021-01-04,10:03:22,Technical Support,Y,Y,67.0,00:02:44,3.0,1,1,January
ID0185,Jim,2021-01-04,10:27:50,Streaming,Y,Y,90.0,00:04:17,3.0,1,1,January
ID0186,Diane,2021-01-04,10:27:50,Technical Support,N,N,,,,0,0,January
ID0187,Becky,2021-01-04,11:09:36,Streaming,Y,N,50.0,00:03:49,4.0,1,0,January
ID0188,Diane,2021-01-04,11:09:36,Admin Support,Y,N,89.0,00:04:16,3.0,1,0,January
ID0189,Jim,2021-01-04,11:13:55,Admin Support,Y,Y,74.0,00:06:18,3.0,1,1,January
ID0190,Martha,2021-01-04,11:13:55,Payment related,Y,Y,63.0,00:02:22,2.0,1,1,January
ID0191,Becky,2021-01-04,11:18:14,Contract related,Y,Y,45.0,00:06:31,5.0,1,1,January
ID0192,Martha,2021-01-04,11:18:14,Technical Support,N,N,,,,0,0,January
ID0193,Dan,2021-01-04,11:22:34,Payment related,Y,Y,31.0,00:06:43,2.0,1,1,January
ID0194,Joe,2021-01-04,11:22:34,Streaming,N,N,,,,0,0,January
ID0195,Joe,2021-01-04,11:32:38,Contract related,Y,Y,43.0,00:03:44,5.0,1,1,January
ID0196,Martha,2021-01-04,11:32:38,Streaming,Y,Y,50.0,00:05:42,4.0,1,1,January
ID0197,Dan,2021-01-04,12:02:53,Technical Support,Y,Y,48.0,00:05:12,4.0,1,1,January
ID0198,Martha,2021-01-04,12:02:53,Admin Support,Y,Y,113.0,00:02:44,5.0,1,1,January
ID0199,Jim,2021-01-04,12:15:50,Streaming,N,N,,,,0,0,January
ID0200,Joe,2021-01-04,12:15:50,Technical Support,Y,Y,103.0,00:06:40,5.0,1,1,January
ID0201,Becky,2021-01-04,12:15:50,Technical Support,Y,N,95.0,00:04:27,3.0,1,0,January
ID0202,Joe,2021-01-04,12:15:50,Admin Support,Y,Y,30.0,00:05:04,1.0,1,1,January
ID0203,Greg,2021-01-04,13:32:10,Admin Support,Y,Y,124.0,00:03:19,3.0,1,1,January
ID0204,Diane,2021-01-04,13:32:10,Admin Support,Y,Y,17.0,00:02:03,5.0,1,1,January
ID0205,Stewart,2021-01-04,13:45:07,Streaming,Y,Y,113.0,00:06:00,3.0,1,1,January
ID0206,Jim,2021-01-04,13:45:07,Technical Support,Y,Y,25.0,00:02:27,5.0,1,1,January
ID0207,Jim,2021-01-04,13:56:38,Admin Support,Y,Y,52.0,00:04:22,5.0,1,1,January
ID0208,Dan,2021-01-04,13:56:38,Admin Support,Y,Y,28.0,00:02:44,5.0,1,1,January
ID0209,Greg,2021-01-04,14:25:26,Technical Support,Y,Y,69.0,00:03:05,3.0,1,1,January
ID0210,Martha,2021-01-04,14:25:26,Streaming,Y,Y,106.0,00:03:52,3.0,1,1,January
ID0211,Jim,2021-01-04,14:28:19,Technical Support,N,N,,,,0,0,January
ID0212,Joe,2021-01-04,14:28:19,Payment related,Y,Y,26.0,00:04:59,3.0,1,1,January
ID0213,Joe,2021-01-04,14:31:12,Payment related,Y,Y,53.0,00:05:55,4.0,1,1,January
ID0214,Martha,2021-01-04,14:31:12,Technical Support,Y,Y,77.0,00:04:10,2.0,1,1,January
ID0215,Jim,2021-01-04,14:49:55,Contract related,Y,Y,45.0,00:03:02,3.0,1,1,January
ID0216,Becky,2021-01-04,14:49:55,Technical Support,N,N,,,,0,0,January
ID0217,Greg,2021-01-04,15:23:02,Streaming,Y,Y,56.0,00:04:16,4.0,1,1,January
ID0218,Stewart,2021-01-04,15:23:02,Admin Support,Y,Y,13.0,00:03:56,2.0,1,1,January
ID0219,Stewart,2021-01-04,15:48:58,Admin Support,Y,Y,120.0,00:06:50,5.0,1,1,January
ID0220,Diane,2021-01-04,15:48:58,Payment related,Y,Y,22.0,00:00:50,1.0,1,1,January
ID0221,Martha,2021-01-04,16:48:00,Payment related,Y,Y,81.0,00:03:21,4.0,1,1,January
ID0222,Jim,2021-01-04,16:48:00,Streaming,N,N,,,,0,0,January
ID0223,Martha,2021-01-04,16:49:26,Contract related,Y,Y,71.0,00:00:48,2.0,1,1,January
ID0224,Stewart,2021-01-04,16:49:26,Payment related,Y,Y,75.0,00:01:33,4.0,1,1,January
ID0225,Martha,2021-01-04,16:49:26,Technical Support,Y,Y,77.0,00:02:42,4.0,1,1,January
ID0226,Joe,2021-01-04,16:49:26,Streaming,Y,Y,88.0,00:06:27,4.0,1,1,January
ID0227,Stewart,2021-01-04,17:35:31,Admin Support,Y,Y,82.0,00:03:05,2.0,1,1,January
ID0228,Jim,2021-01-04,17:35:31,Technical Support,Y,Y,110.0,00:06:30,3.0,1,1,January
ID0229,Martha,2021-01-04,17:39:50,Admin Support,Y,N,70.0,00:01:32,3.0,1,0,January
ID0230,Becky,2021-01-04,17:39:50,Admin Support,Y,Y,117.0,00:03:40,3.0,1,1,January
ID0231,Joe,2021-01-05,09:08:38,Streaming,Y,Y,18.0,00:00:50,3.0,1,1,January
ID0232,Joe,2021-01-05,09:08:38,Streaming,Y,Y,113.0,00:02:36,4.0,1,1,January
ID0233,Stewart,2021-01-05,09:25:55,Contract related,Y,N,68.0,00:03:29,5.0,1,0,January
ID0234,Greg,2021-01-05,09:25:55,Payment related,Y,Y,67.0,00:04:14,5.0,1,1,January
ID0235,Joe,2021-01-05,09:33:07,Technical Support,Y,Y,36.0,00:01:07,5.0,1,1,January
ID0236,Stewart,2021-01-05,09:33:07,Streaming,N,N,,,,0,0,January
ID0237,Becky,2021-01-05,10:00:29,Technical Support,Y,Y,33.0,00:02:30,1.0,1,1,January
ID0238,Dan,2021-01-05,10:00:29,Contract related,Y,Y,113.0,00:01:59,5.0,1,1,January
ID0239,Greg,2021-01-05,10:49:26,Contract related,Y,Y,106.0,00:06:19,3.0,1,1,January
ID0240,Joe,2021-01-05,10:49:26,Streaming,Y,Y,23.0,00:04:59,3.0,1,1,January
ID0241,Joe,2021-01-05,11:31:12,Streaming,N,N,,,,0,0,January
ID0242,Greg,2021-01-05,11:31:12,Payment related,Y,Y,11.0,00:04:42,1.0,1,1,January
ID0243,Greg,2021-01-05,11:41:17,Contract related,Y,Y,73.0,00:04:45,5.0,1,1,January
ID0244,Dan,2021-01-05,11:41:17,Admin Support,Y,Y,109.0,00:04:49,5.0,1,1,January
ID0245,Martha,2021-01-05,11:49:55,Payment related,Y,Y,29.0,00:04:14,4.0,1,1,January
ID0246,Dan,2021-01-05,11:49:55,Streaming,N,N,,,,0,0,January
ID0247,Becky,2021-01-05,11:49:55,Admin Support,Y,Y,81.0,00:01:14,4.0,1,1,January
ID0248,Greg,2021-01-05,11:49:55,Contract related,Y,Y,59.0,00:03:52,1.0,1,1,January
ID0249,Becky,2021-01-05,12:00:00,Streaming,Y,Y,32.0,00:06:29,4.0,1,1,January
ID0250,Martha,2021-01-05,12:00:00,Admin Support,Y,Y,116.0,00:00:42,4.0,1,1,January
ID0251,Diane,2021-01-05,12:12:58,Payment related,Y,Y,92.0,00:01:55,5.0,1,1,January
ID0252,Greg,2021-01-05,12:12:58,Streaming,Y,Y,62.0,00:06:02,5.0,1,1,January
ID0253,Joe,2021-01-05,13:04:48,Payment related,Y,Y,83.0,00:01:53,5.0,1,1,January
ID0254,Joe,2021-01-05,13:04:48,Admin Support,Y,Y,71.0,00:02:31,3.0,1,1,January
ID0255,Greg,2021-01-05,13:59:31,Admin Support,Y,N,74.0,00:04:32,3.0,1,0,January
ID0256,Joe,2021-01-05,13:59:31,Technical Support,Y,Y,96.0,00:05:46,4.0,1,1,January
ID0257,Diane,2021-01-05,14:42:43,Admin Support,Y,Y,110.0,00:01:41,1.0,1,1,January
ID0258,Jim,2021-01-05,14:42:43,Streaming,Y,N,110.0,00:02:38,3.0,1,0,January
ID0259,Dan,2021-01-05,15:18:43,Technical Support,Y,Y,117.0,00:03:03,4.0,1,1,January
ID0260,Becky,2021-01-05,15:18:43,Admin Support,Y,Y,44.0,00:05:53,3.0,1,1,January
ID0261,Diane,2021-01-05,15:20:10,Contract related,Y,Y,47.0,00:06:02,4.0,1,1,January
ID0262,Greg,2021-01-05,15:20:10,Admin Support,Y,Y,97.0,00:01:16,3.0,1,1,January
ID0263,Greg,2021-01-05,15:31:41,Streaming,Y,Y,67.0,00:02:39,4.0,1,1,January
ID0264,Diane,2021-01-05,15:31:41,Streaming,Y,Y,72.0,00:06:48,3.0,1,1,January
ID0265,Becky,2021-01-05,15:31:41,Contract related,Y,Y,68.0,00:04:21,3.0,1,1,January
ID0266,Joe,2021-01-05,15:31:41,Payment related,Y,Y,98.0,00:06:22,5.0,1,1,January
ID0267,Joe,2021-01-05,15:37:26,Streaming,Y,Y,120.0,00:00:56,3.0,1,1,January
ID0268,Dan,2021-01-05,15:37:26,Payment related,Y,Y,13.0,00:02:33,1.0,1,1,January
ID0269,Jim,2021-01-05,15:44:38,Admin Support,Y,Y,95.0,00:01:47,5.0,1,1,January
ID0270,Martha,2021-01-05,15:44:38,Payment related,Y,Y,31.0,00:00:42,5.0,1,1,January
