,Unnamed: 0.1,Unnamed: 0,Nom_Produit,Catégorie,Sous-Catégorie,Coût unitaire,Prix unitaire,Client,Ville,N° de Commande,Date de Commande,Date de Livraison,Id Client,Canal,Id Produit,Quantité,annee,trimestre,mois,chiffre d'affaire,cout total,marge,latitude,longitude,delai
20,20,20,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0004129,2017-06-21,2017-06-29,2,Grossiste,1,11,2017,Trim2,juin,25351.061263318126,15859.032980213116,9492.02828310501,47.2186371,-1.5541362,8
21,21,21,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 000704,2017-08-28,2017-08-31,2,Grossiste,1,11,2017,Trim3,août,25351.061263318126,15859.032980213116,9492.02828310501,47.2186371,-1.5541362,3
22,22,22,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0004759,2017-09-23,2017-10-04,2,Détaillant,1,7,2017,Trim3,septembre,16132.493531202445,10092.111896499257,6040.381634703188,47.2186371,-1.5541362,11
23,23,23,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0001126,2018-01-05,2018-01-14,2,Grossiste,1,10,2018,Trim1,janvier,23046.419330289205,14417.302709284651,8629.116621004554,47.2186371,-1.5541362,9
24,24,24,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0002800,2018-01-21,2018-02-07,2,Grossiste,1,6,2018,Trim1,janvier,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,17
25,25,25,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0004677,2018-05-01,2018-05-05,2,Grossiste,1,5,2018,Trim2,mai,11523.209665144605,7208.651354642326,4314.558310502279,47.2186371,-1.5541362,4
26,26,26,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0006089,2018-06-05,2018-06-12,2,Grossiste,1,6,2018,Trim2,juin,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,7
27,27,27,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0004248,2018-07-07,2018-07-18,2,Détaillant,1,6,2018,Trim3,juillet,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,11
28,28,28,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0007017,2019-03-06,2019-03-23,2,Détaillant,1,9,2019,Trim1,mars,20741.777397260284,12975.572438356186,7766.204958904098,47.2186371,-1.5541362,17
29,29,29,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0003368,2019-04-03,2019-04-20,2,Grossiste,1,7,2019,Trim2,avril,16132.493531202445,10092.111896499257,6040.381634703188,47.2186371,-1.5541362,17
30,30,30,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0007146,2019-04-12,2019-04-28,2,Export,1,8,2019,Trim2,avril,18437.135464231364,11533.842167427722,6903.293296803642,47.2186371,-1.5541362,16
31,31,31,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0001425,2019-04-18,2019-04-25,2,Grossiste,1,6,2019,Trim2,avril,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,7
32,32,32,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0006260,2019-04-26,2019-05-11,2,Grossiste,1,12,2019,Trim2,avril,27655.703196347044,17300.763251141583,10354.93994520546,47.2186371,-1.5541362,15
33,33,33,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0002903,2019-06-08,2019-06-26,2,Grossiste,1,9,2019,Trim2,juin,20741.777397260284,12975.572438356186,7766.204958904098,47.2186371,-1.5541362,18
34,34,34,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0004001,2019-09-21,2019-09-28,2,Détaillant,1,6,2019,Trim3,septembre,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,7
35,35,35,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0007477,2019-10-04,2019-10-14,2,Détaillant,1,5,2019,Trim4,octobre,11523.209665144605,7208.651354642326,4314.558310502279,47.2186371,-1.5541362,10
36,36,36,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0001534,2019-10-13,2019-10-21,2,Détaillant,1,6,2019,Trim4,octobre,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,8
37,37,37,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,WakeFern ,NANTES,CDE - 0005501,2019-11-22,2019-11-29,2,Export,1,6,2019,Trim4,novembre,13827.851598173522,8650.381625570792,5177.46997260273,47.2186371,-1.5541362,7
38,38,38,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0007460,2017-01-14,2017-01-17,3,Grossiste,1,10,2017,Trim1,janvier,23046.419330289205,14417.302709284651,8629.116621004554,46.3239233,-0.4646064,3
39,39,39,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0004743,2017-04-29,2017-05-09,3,Grossiste,1,11,2017,Trim2,avril,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,10
40,40,40,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0004014,2017-05-05,2017-05-09,3,Grossiste,1,11,2017,Trim2,mai,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,4
41,41,41,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0002883,2017-05-10,2017-05-20,3,Grossiste,1,9,2017,Trim2,mai,20741.777397260284,12975.572438356186,7766.204958904098,46.3239233,-0.4646064,10
42,42,42,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0006275,2017-06-01,2017-06-16,3,Grossiste,1,9,2017,Trim2,juin,20741.777397260284,12975.572438356186,7766.204958904098,46.3239233,-0.4646064,15
43,43,43,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0002138,2017-06-12,2017-06-20,3,Détaillant,1,6,2017,Trim2,juin,13827.851598173522,8650.381625570792,5177.46997260273,46.3239233,-0.4646064,8
44,44,44,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0005274,2017-07-06,2017-07-20,3,Détaillant,1,7,2017,Trim3,juillet,16132.493531202445,10092.111896499257,6040.381634703188,46.3239233,-0.4646064,14
45,45,45,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0006586,2017-07-19,2017-07-30,3,Détaillant,1,7,2017,Trim3,juillet,16132.493531202445,10092.111896499257,6040.381634703188,46.3239233,-0.4646064,11
46,46,46,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0006429,2017-10-02,2017-10-19,3,Grossiste,1,7,2017,Trim4,octobre,16132.493531202445,10092.111896499257,6040.381634703188,46.3239233,-0.4646064,17
47,47,47,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0005688,2017-10-09,2017-10-25,3,Export,1,9,2017,Trim4,octobre,20741.777397260284,12975.572438356186,7766.204958904098,46.3239233,-0.4646064,16
48,48,48,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0001332,2017-11-06,2017-11-11,3,Détaillant,1,11,2017,Trim4,novembre,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,5
49,49,49,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0006560,2017-12-18,2017-12-27,3,Grossiste,1,10,2017,Trim4,décembre,23046.419330289205,14417.302709284651,8629.116621004554,46.3239233,-0.4646064,9
50,50,50,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0007152,2018-02-17,2018-02-23,3,Grossiste,1,6,2018,Trim1,février,13827.851598173522,8650.381625570792,5177.46997260273,46.3239233,-0.4646064,6
51,51,51,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0007309,2018-05-02,2018-05-13,3,Grossiste,1,5,2018,Trim2,mai,11523.209665144605,7208.651354642326,4314.558310502279,46.3239233,-0.4646064,11
52,52,52,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0002701,2018-05-17,2018-05-25,3,Export,1,7,2018,Trim2,mai,16132.493531202445,10092.111896499257,6040.381634703188,46.3239233,-0.4646064,8
53,53,53,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0004170,2018-05-27,2018-06-05,3,Export,1,11,2018,Trim2,mai,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,9
54,54,54,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 000919,2018-06-21,2018-07-07,3,Export,1,5,2018,Trim2,juin,11523.209665144605,7208.651354642326,4314.558310502279,46.3239233,-0.4646064,16
55,55,55,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 000613,2018-09-29,2018-10-04,3,Détaillant,1,11,2018,Trim3,septembre,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,5
56,56,56,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0005939,2018-10-22,2018-11-05,3,Détaillant,1,11,2018,Trim4,octobre,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,14
57,57,57,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0003900,2018-11-06,2018-11-16,3,Export,1,6,2018,Trim4,novembre,13827.851598173522,8650.381625570792,5177.46997260273,46.3239233,-0.4646064,10
58,58,58,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0007909,2018-12-15,2018-12-24,3,Export,1,11,2018,Trim4,décembre,25351.061263318126,15859.032980213116,9492.02828310501,46.3239233,-0.4646064,9
59,59,59,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 000589,2018-12-20,2019-01-03,3,Grossiste,1,6,2018,Trim4,décembre,13827.851598173522,8650.381625570792,5177.46997260273,46.3239233,-0.4646064,14
60,60,60,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0006071,2019-01-07,2019-01-15,3,Grossiste,1,8,2019,Trim1,janvier,18437.135464231364,11533.842167427722,6903.293296803642,46.3239233,-0.4646064,8
61,61,61,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 000577,2019-02-19,2019-03-08,3,Export,1,5,2019,Trim1,février,11523.209665144605,7208.651354642326,4314.558310502279,46.3239233,-0.4646064,17
62,62,62,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 000498,2019-04-08,2019-04-21,3,Grossiste,1,5,2019,Trim2,avril,11523.209665144605,7208.651354642326,4314.558310502279,46.3239233,-0.4646064,13
63,63,63,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0005428,2019-04-13,2019-05-01,3,Grossiste,1,5,2019,Trim2,avril,11523.209665144605,7208.651354642326,4314.558310502279,46.3239233,-0.4646064,18
64,64,64,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0004970,2019-04-29,2019-05-04,3,Grossiste,1,9,2019,Trim2,avril,20741.777397260284,12975.572438356186,7766.204958904098,46.3239233,-0.4646064,5
65,65,65,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0002081,2019-07-07,2019-07-10,3,Grossiste,1,10,2019,Trim3,juillet,23046.419330289205,14417.302709284651,8629.116621004554,46.3239233,-0.4646064,3
66,66,66,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0007844,2019-10-21,2019-10-28,3,Détaillant,1,6,2019,Trim4,octobre,13827.851598173522,8650.381625570792,5177.46997260273,46.3239233,-0.4646064,7
67,67,67,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0004145,2019-11-15,2019-12-01,3,Détaillant,1,8,2019,Trim4,novembre,18437.135464231364,11533.842167427722,6903.293296803642,46.3239233,-0.4646064,16
68,68,68,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0006710,2019-11-26,2019-12-02,3,Grossiste,1,5,2019,Trim4,novembre,11523.209665144605,7208.651354642326,4314.558310502279,46.3239233,-0.4646064,6
69,69,69,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,"Elorac, SA",NIORT,CDE - 0007804,2019-12-04,2019-12-07,3,Grossiste,1,12,2019,Trim4,décembre,27655.703196347044,17300.763251141583,10354.93994520546,46.3239233,-0.4646064,3
70,70,70,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0004541,2017-02-14,2017-02-28,4,Grossiste,1,10,2017,Trim1,février,23046.419330289205,14417.302709284651,8629.116621004554,48.1113387,-1.6800198,14
71,71,71,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0005563,2017-03-16,2017-03-23,4,Export,1,6,2017,Trim1,mars,13827.851598173522,8650.381625570792,5177.46997260273,48.1113387,-1.6800198,7
72,72,72,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 000286,2017-08-25,2017-08-28,4,Grossiste,1,9,2017,Trim3,août,20741.777397260284,12975.572438356186,7766.204958904098,48.1113387,-1.6800198,3
73,73,73,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0002063,2017-09-18,2017-09-26,4,Détaillant,1,7,2017,Trim3,septembre,16132.493531202445,10092.111896499257,6040.381634703188,48.1113387,-1.6800198,8
74,74,74,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0006836,2017-10-28,2017-11-03,4,Grossiste,1,9,2017,Trim4,octobre,20741.777397260284,12975.572438356186,7766.204958904098,48.1113387,-1.6800198,6
75,75,75,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0006136,2017-11-09,2017-11-12,4,Grossiste,1,11,2017,Trim4,novembre,25351.061263318126,15859.032980213116,9492.02828310501,48.1113387,-1.6800198,3
76,76,76,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0001275,2017-12-24,2018-01-04,4,Grossiste,1,11,2017,Trim4,décembre,25351.061263318126,15859.032980213116,9492.02828310501,48.1113387,-1.6800198,11
77,77,77,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0005384,2018-02-25,2018-03-15,4,Grossiste,1,12,2018,Trim1,février,27655.703196347044,17300.763251141583,10354.93994520546,48.1113387,-1.6800198,18
78,78,78,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0002970,2018-02-27,2018-03-07,4,Grossiste,1,11,2018,Trim1,février,25351.061263318126,15859.032980213116,9492.02828310501,48.1113387,-1.6800198,8
79,79,79,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0007278,2018-03-05,2018-03-21,4,Détaillant,1,7,2018,Trim1,mars,16132.493531202445,10092.111896499257,6040.381634703188,48.1113387,-1.6800198,16
80,80,80,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0001339,2018-03-24,2018-03-29,4,Grossiste,1,6,2018,Trim1,mars,13827.851598173522,8650.381625570792,5177.46997260273,48.1113387,-1.6800198,5
81,81,81,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 000636,2018-04-10,2018-04-18,4,Détaillant,1,10,2018,Trim2,avril,23046.419330289205,14417.302709284651,8629.116621004554,48.1113387,-1.6800198,8
82,82,82,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0002284,2018-05-10,2018-05-24,4,Grossiste,1,8,2018,Trim2,mai,18437.135464231364,11533.842167427722,6903.293296803642,48.1113387,-1.6800198,14
83,83,83,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0007820,2018-07-11,2018-07-21,4,Grossiste,1,7,2018,Trim3,juillet,16132.493531202445,10092.111896499257,6040.381634703188,48.1113387,-1.6800198,10
84,84,84,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0005354,2018-08-03,2018-08-12,4,Grossiste,1,6,2018,Trim3,août,13827.851598173522,8650.381625570792,5177.46997260273,48.1113387,-1.6800198,9
85,85,85,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0003833,2018-08-05,2018-08-11,4,Grossiste,1,11,2018,Trim3,août,25351.061263318126,15859.032980213116,9492.02828310501,48.1113387,-1.6800198,6
86,86,86,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0004928,2018-09-05,2018-09-21,4,Grossiste,1,12,2018,Trim3,septembre,27655.703196347044,17300.763251141583,10354.93994520546,48.1113387,-1.6800198,16
87,87,87,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0005604,2018-09-21,2018-09-24,4,Détaillant,1,8,2018,Trim3,septembre,18437.135464231364,11533.842167427722,6903.293296803642,48.1113387,-1.6800198,3
88,88,88,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0005229,2019-01-06,2019-01-11,4,Détaillant,1,9,2019,Trim1,janvier,20741.777397260284,12975.572438356186,7766.204958904098,48.1113387,-1.6800198,5
89,89,89,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0003967,2019-03-03,2019-03-09,4,Grossiste,1,9,2019,Trim1,mars,20741.777397260284,12975.572438356186,7766.204958904098,48.1113387,-1.6800198,6
90,90,90,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0002010,2019-06-20,2019-06-25,4,Détaillant,1,11,2019,Trim2,juin,25351.061263318126,15859.032980213116,9492.02828310501,48.1113387,-1.6800198,5
91,91,91,Produit 1,Catégorie 2,Sous-catégorie 4,1441.7302709284652,2304.6419330289204,ETUDE SARL,RENNES,CDE - 0001837,2019-10-14,2019-10-29,4,Export,1,6,2019,Trim4,octobre,13827.851598173522,8650.381625570792,5177.46997260273,48.1113387,-1.6800198,15
